SMD component position file.

Centroid Data for pc board: "BeaverBoard.brd" as of: 2/18/2011 9:32:12 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
B1,Top,5.700,2.513,0
B2,Top,1.188,0.762,180
B3,Top,1.188,2.212,180
B4,Top,5.700,2.400,0
B101,Top,4.800,0.287,0
B111,Top,1.262,1.712,270
B112,Top,1.262,1.225,90
C11,Top,2.550,1.400,0
C12,Top,2.475,0.800,0
C21,Top,2.475,0.700,0
C22,Top,2.550,0.100,0
C31,Top,2.650,0.825,180
C32,Top,2.650,0.675,180
C33,Top,3.025,0.588,0
C34,Top,3.000,0.491,0
C35,Top,3.025,0.975,270
C41,Top,3.275,0.550,180
C42,Top,3.275,0.463,0
C43,Top,3.434,0.528,90
C51,Top,3.750,1.400,0
C52,Top,3.850,0.800,0
C61,Top,3.850,0.700,0
C62,Top,3.750,0.100,0
C101,Top,0.250,2.600,0
C102,Top,0.300,2.188,0
C103,Top,0.400,2.388,270
C104,Top,4.650,0.237,270
C105,Top,4.562,0.237,270
C106,Top,4.475,0.237,270
C111,Top,0.250,1.950,0
C112,Top,0.300,1.538,0
C113,Top,0.400,1.738,270
C114,Top,1.262,1.875,90
C115,Top,1.350,1.875,90
C116,Top,1.438,1.875,90
C117,Top,1.262,1.062,270
C118,Top,1.350,1.062,270
C119,Top,1.438,1.062,270
C121,Top,0.250,1.300,0
C122,Top,0.300,0.887,0
C123,Top,0.400,1.087,270
C200,Top,0.850,3.600,0
LED2P5,Top,0.191,0.878,270
LED3P3,Top,0.191,1.528,270
LED5,Top,0.191,2.178,270
LED6,Top,0.800,3.391,0
R10,Top,2.763,0.287,0
R11,Top,2.350,1.000,90
R12,Top,2.550,1.300,0
R13,Top,2.700,1.075,0
R14,Top,2.350,0.800,0
R15,Top,2.475,0.900,0
R16,Top,2.700,0.925,0
R20,Top,2.763,0.200,180
R21,Top,2.350,0.700,0
R22,Top,2.475,0.600,0
R23,Top,2.700,0.575,0
R24,Top,2.350,0.500,270
R25,Top,2.550,0.200,0
R26,Top,2.700,0.425,0
R50,Top,4.138,0.263,0
R51,Top,3.550,1.050,90
R52,Top,3.650,1.050,90
R53,Top,3.750,1.300,0
R54,Top,3.625,0.850,270
R55,Top,3.725,0.850,90
R56,Top,3.850,0.900,0
R60,Top,4.138,0.350,180
R61,Top,3.625,0.650,270
R62,Top,3.725,0.650,270
R63,Top,3.850,0.600,0
R64,Top,3.550,0.450,90
R65,Top,3.650,0.450,270
R66,Top,3.750,0.200,0
R81,Top,4.088,0.975,180
R82,Top,4.300,0.975,270
R91,Top,4.300,0.525,270
R92,Top,4.088,0.525,0
R101,Top,2.825,2.200,270
R102,Top,2.888,2.050,90
R103,Top,2.950,2.200,270
R104,Top,3.013,2.050,90
R105,Top,3.075,2.200,270
R106,Top,3.138,2.050,270
R107,Top,3.200,2.200,90
R108,Top,3.263,2.050,90
R109,Top,3.325,2.200,270
R110,Top,3.388,2.050,90
R111,Top,3.450,2.200,270
R112,Top,3.513,2.050,270
R113,Top,3.575,2.200,90
R114,Top,3.763,2.050,270
R115,Top,3.825,2.200,270
R116,Top,3.888,2.050,90
R117,Top,3.950,2.200,90
R118,Top,4.037,2.200,90
R119,Top,4.100,2.050,270
R120,Top,4.162,2.200,270
R121,Top,4.225,2.050,90
R123,Top,3.612,1.762,270
R124,Top,3.700,1.762,270
R200,Top,1.297,2.362,180
RL2P5,Top,0.300,0.797,180
RL3P3,Top,0.297,1.447,180
RL5,Top,0.297,2.097,180
RL6,Top,0.800,3.300,0
U1,Top,2.500,1.100,0
U2,Top,2.500,0.400,0
U3,Top,2.925,0.750,270
U4,Top,3.450,0.750,180
U5,Top,3.800,1.100,0
U6,Top,3.800,0.400,0
U7,Top,4.150,0.750,180
U8,Top,4.513,0.900,90
U9,Top,4.513,0.600,90
U10,Top,0.250,2.400,0
U11,Top,0.250,1.750,0
U12,Top,0.250,1.100,0
X2,Top,2.150,1.175,270
X3,Top,4.825,1.175,270
