SMD component position file.

Centroid Data for pc board: "MainBoard.brd" as of: 3/16/2012 6:12:08 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
B1,Bottom,2.874,1.270,180
B2,Bottom,0.709,1.791,270
B3,Bottom,0.748,1.565,0
B4,Bottom,0.748,1.447,0
C1,Bottom,2.116,1.791,180
C2,Bottom,1.398,1.693,0
C3,Top,1.329,1.496,180
C4,Bottom,1.663,1.654,180
C5,Bottom,2.156,1.693,180
C6,Bottom,1.969,1.496,180
C7,Bottom,2.167,1.587,180
C8,Bottom,1.486,1.289,270
C9,Bottom,1.467,1.181,0
C10,Bottom,1.604,1.220,0
C11,Bottom,1.683,1.191,270
C12,Bottom,1.762,1.201,0
C13,Bottom,2.146,1.437,180
C14,Bottom,1.929,1.388,90
C15,Bottom,2.165,1.331,180
C16,Bottom,1.969,1.191,270
C17,Bottom,2.073,1.142,180
C18,Bottom,2.083,1.547,180
C19,Bottom,1.791,1.693,0
C20,Bottom,1.949,1.900,90
C21,Bottom,1.516,1.900,90
C22,Bottom,2.116,1.752,180
C23,Bottom,1.614,1.762,90
C24,Bottom,1.535,1.762,90
C25,Bottom,1.496,1.762,90
C26,Top,1.329,1.417,180
C27,Bottom,2.087,1.250,270
C28,Bottom,2.126,1.250,270
C29,Bottom,2.008,1.250,270
C30,Bottom,1.693,1.496,0
C31,Bottom,1.850,1.496,180
C32,Bottom,1.772,1.575,270
C33,Bottom,1.772,1.417,90
C34,Bottom,1.791,1.900,90
C35,Bottom,1.988,1.900,90
C36,Top,1.693,2.047,90
C37,Bottom,0.354,0.827,180
C38,Top,1.614,2.047,90
C39,Top,1.535,2.047,90
C40,Top,2.146,1.772,90
C41,Top,1.437,2.047,90
C42,Top,2.254,1.939,180
C43,Bottom,0.492,0.728,180
C44,Bottom,1.299,1.506,0
C45,Bottom,1.398,1.319,270
C46,Bottom,1.358,1.280,270
C47,Bottom,2.028,1.900,90
C48,Bottom,1.614,1.900,90
C49,Bottom,1.654,1.762,90
C50,Bottom,1.831,1.900,90
C51,Bottom,1.870,1.900,90
C52,Bottom,1.752,1.900,90
C53,Bottom,1.713,1.900,90
C54,Bottom,1.909,1.900,90
C55,Bottom,1.831,1.772,0
C56,Top,1.752,0.591,270
C57,Top,1.555,0.512,90
C58,Top,1.476,0.541,180
C59,Top,1.870,0.591,90
C60,Top,1.476,0.482,0
C61,Top,1.791,0.906,0
C62,Top,1.713,0.512,90
C63,Top,1.634,0.541,180
C64,Top,1.791,0.787,180
C65,Top,1.634,0.482,0
C66,Bottom,1.742,0.640,180
C67,Bottom,1.663,0.541,270
C68,Bottom,1.624,0.541,270
C69,Bottom,1.585,0.541,270
C70,Bottom,1.634,0.699,0
C71,Bottom,1.634,0.738,0
C72,Bottom,1.634,0.817,0
C73,Bottom,1.634,0.856,0
C74,Bottom,1.791,0.876,180
C75,Bottom,1.791,0.915,180
C76,Bottom,1.447,0.758,270
C77,Bottom,1.407,0.758,270
C78,Bottom,1.319,0.669,270
C79,Bottom,1.358,0.669,270
C80,Bottom,1.427,0.541,270
C81,Bottom,1.467,0.541,270
C82,Bottom,1.545,0.541,270
C83,Bottom,1.506,0.541,270
C84,Bottom,1.437,0.915,0
C85,Bottom,1.437,0.955,0
C86,Top,2.343,0.591,270
C87,Top,2.106,0.482,0
C88,Top,2.106,0.541,180
C89,Top,2.461,0.591,90
C90,Top,2.028,0.512,270
C91,Top,2.421,0.906,0
C92,Top,2.264,0.482,0
C93,Top,2.264,0.541,180
C94,Top,2.421,0.787,180
C95,Top,2.185,0.512,270
C96,Bottom,2.372,0.640,180
C97,Bottom,2.293,0.541,270
C98,Bottom,2.254,0.541,270
C99,Bottom,2.215,0.541,270
C100,Bottom,2.264,0.699,0
C101,Bottom,2.264,0.738,0
C102,Bottom,2.264,0.817,0
C103,Bottom,2.264,0.856,0
C104,Bottom,2.421,0.876,180
C105,Bottom,2.421,0.915,180
C106,Bottom,2.077,0.817,180
C107,Bottom,2.077,0.778,180
C108,Bottom,1.929,0.778,0
C109,Bottom,1.929,0.738,0
C110,Bottom,2.057,0.541,270
C111,Bottom,2.096,0.541,270
C112,Bottom,2.175,0.541,270
C113,Bottom,2.136,0.541,270
C114,Bottom,2.156,1.033,90
C115,Bottom,2.116,1.033,90
C116,Bottom,2.382,1.870,0
C117,Bottom,3.081,1.673,0
C118,Bottom,3.199,1.043,180
C119,Bottom,3.051,1.112,180
C120,Bottom,3.100,0.817,180
C121,Bottom,2.972,1.348,0
C122,Bottom,2.864,1.575,0
C123,Bottom,3.199,1.083,180
C124,Bottom,3.199,1.122,180
C125,Bottom,3.199,0.974,180
C126,Bottom,2.618,1.112,0
C127,Bottom,2.785,0.896,90
C128,Bottom,2.736,0.896,90
C129,Bottom,2.913,1.132,180
C130,Bottom,2.913,1.171,180
C131,Top,0.472,1.722,0
C132,Top,0.472,1.467,180
C133,Bottom,1.083,1.585,180
C134,Bottom,0.965,1.713,180
C135,Bottom,0.630,1.870,0
C136,Bottom,0.827,1.781,90
C137,Bottom,0.787,1.781,90
C138,Bottom,0.610,1.506,270
C139,Bottom,0.591,1.594,0
C140,Bottom,0.502,1.398,0
C141,Bottom,0.502,1.447,0
C142,Bottom,0.925,1.634,180
C143,Bottom,0.925,1.575,180
C144,Bottom,0.876,1.781,90
C145,Bottom,0.610,1.358,0
C146,Bottom,0.896,1.457,90
C147,Bottom,0.719,1.663,90
C148,Bottom,1.043,1.959,90
J1,Top,0.787,1.122,180
J3,Top,0.236,1.220,180
J4,Bottom,1.772,0.276,180
J5,Top,1.772,0.276,0
J6,Top,0.748,2.126,180
L1,Bottom,2.201,1.502,180
L2,Bottom,1.545,1.102,0
LED1,Top,0.177,2.126,0
LED2,Top,0.413,2.126,0
M5,Top,0.079,0.079,0
M6,Top,0.079,1.890,0
M7,Top,3.465,1.890,0
M8,Top,3.465,0.079,0
Q1,Top,1.831,2.028,90
R1,Bottom,1.368,1.791,180
R2,Bottom,0.354,0.787,180
R3,Top,0.335,0.876,90
R4,Bottom,0.276,0.699,90
R5,Bottom,0.866,0.866,270
R6,Bottom,0.709,0.866,90
R7,Bottom,2.156,1.644,0
R8,Top,2.333,1.654,270
R9,Bottom,0.305,1.398,270
R10,Bottom,0.354,1.398,270
R11,Bottom,0.605,1.280,0
R12,Bottom,0.620,0.866,270
R13,Top,1.772,1.890,0
R14,Top,1.890,1.890,0
R15,Bottom,1.545,0.659,180
R16,Bottom,1.535,0.817,90
R17,Bottom,2.018,0.591,270
R18,Bottom,1.929,0.679,0
R19,Top,1.791,0.591,270
R20,Top,1.831,0.591,270
R21,Top,1.791,0.866,0
R22,Top,1.791,0.827,0
R23,Bottom,1.437,0.837,180
R24,Bottom,1.339,0.925,270
R25,Top,2.382,0.591,270
R26,Top,2.421,0.591,270
R27,Top,2.421,0.866,0
R28,Top,2.421,0.827,0
R29,Bottom,2.077,0.856,180
R30,Bottom,1.880,1.063,0
R31,Bottom,2.461,1.516,270
R32,Bottom,2.362,1.959,270
R33,Bottom,3.022,0.807,270
R34,Bottom,2.972,0.807,270
R35,Bottom,2.972,1.033,90
